bathrooms,bedrooms,car_spaces,floor_area_m2,land_size_m2,price_php
4,4,2,160.0,63.0,13000000.0
5,4,4,390.0,124.0,49800000.0
4,4,0,410.0,200.0,46500000.0
4,4,4,400.0,412.0,49000000.0
3,4,7,260.0,922.0,138300000.0
4,4,0,532.0,482.0,95000000.0
3,3,1,90.0,60.0,5000000.0
5,4,6,720.0,840.0,29000000.0
8,7,7,1100.0,1120.0,185000000.0
4,4,0,600.0,446.0,200000000.0
4,5,2,185.0,78.0,11500000.0
1,2,0,46.0,99.0,5151000.0
5,5,4,480.0,137.0,49900000.0
4,4,2,187.0,78.0,11500000.0
3,4,1,83.0,99.0,7752000.0
5,4,4,482.0,150.0,74000000.0
5,5,0,400.0,150.0,30000000.0
4,3,3,600.0,805.0,265000000.0
4,5,2,330.0,189.0,48000000.0
5,5,4,600.0,652.0,35000000.0
1,2,1,160.0,121.0,10000000.0
1,5,0,467.0,195.0,100000000.0
2,3,0,66.0,99.0,5335000.0
3,5,2,334.75,311.0,35000000.0
2,3,2,126.0,42.0,8888888.0
5,4,4,500.0,706.0,80000000.0
4,4,0,500.0,844.0,150000000.0
5,5,3,467.0,238.0,100000000.0
4,5,0,332.0,353.0,129000000.0
1,4,0,532.0,482.0,95000000.0
4,4,2,253.0,150.0,14500000.0
4,3,3,228.0,77.0,17995000.0
3,3,1,117.0,60.0,7400000.0
5,5,2,555.0,675.0,195000000.0
4,4,4,532.0,432.0,95000000.0
5,4,3,270.0,100.0,22000000.0
1,2,1,58.0,53.0,4000000.0
4,4,2,200.0,410.0,46800000.0
3,3,2,138.0,50.4,9180000.0
4,4,2,173.59,67.84,13800000.0
4,4,2,185.0,78.45,11500000.0
1,3,0,40.0,52.0,2000000.0
3,3,1,108.0,77.0,6800000.0
6,7,4,550.0,244.0,38000000.0
3,3,1,200.0,141.0,13500000.0
3,4,2,540.0,450.0,175000000.0
1,1,0,154.63,289.0,4007477.0
3,4,1,200.0,75.0,8500000.0
2,5,0,300.0,204.0,7000000.0
1,2,0,52.56,40.0,1648940.0
1,3,0,94.46,156.0,2606915.0
2,3,2,80.0,192.0,6916180.0
2,3,0,74.0,130.0,6835000.0
5,4,4,172.0,264.0,18000000.0
4,4,4,709.0,1036.0,430000000.0
6,4,12,920.0,719.0,220000000.0
4,5,1,330.0,180.0,16500000.0
2,3,1,84.0,120.0,2700000.0
1,2,0,40.0,60.0,1700000.0
2,4,0,210.0,1672.0,4300000.0
2,2,1,83.0,366.0,8500000.0
2,3,0,110.0,118.0,5900000.0
3,4,2,200.0,120.0,11000000.0
4,5,1,220.0,84.0,8787000.0
5,5,4,700.0,400.0,39500000.0
2,2,0,53.0,88.0,4546000.0
2,2,1,150.0,72.0,23000000.0
5,5,2,370.0,263.0,27000000.0
3,4,1,135.0,115.0,10000000.0
3,3,2,160.0,180.0,11500000.0
5,5,6,1600.0,1224.0,449999999.0
3,3,0,318.0,1400.0,17900000.0
1,3,0,90.56,142.0,2287943.0
1,1,0,41.5,44.0,2021000.0
4,4,2,500.0,315.0,65000000.0
6,6,4,423.0,493.0,20000000.0
4,3,1,52.6,52.6,11000000.0
4,4,2,386.0,204.0,16500000.0
1,3,0,54.0,96.0,3562210.0
4,4,0,300.0,200.0,11300000.0
1,2,1,37.3,70.0,1877600.0
6,5,2,300.0,180.0,12800000.0
5,5,2,232.0,180.0,8700000.0
3,4,0,110.0,100.0,4200000.0
6,6,2,380.0,158.0,23000000.0
6,6,0,370.0,204.0,23000000.0
4,4,0,240.0,144.0,23000000.0
5,5,6,1000.0,1500.0,247999999.0
